2015-11-19 None, Sunny
2015-11-18 None, Sunny
2015-11-11 None, Sunny
2015-11-10 None, Sunny
2015-11-13 None, Sunny
2015-11-12 None, Sunny
2015-11-15 None, Sunny
2015-11-14 None, Sunny
2015-11-17 None, Sunny
2015-11-16 None, Sunny
2015-09-10 None, Sunny
2015-09-11 None, Sunny
2015-09-12 None, Sunny
2015-09-13 None, Sunny
2015-09-14 None, Sunny
2015-09-15 None, Sunny
2015-09-16 None, Sunny
2015-09-17 None, Sunny
2015-09-18 None, Sunny
2015-09-19 None, Sunny
2015-07-09 None, Sunny
2015-07-08 None, Sunny
2015-07-05 None, Sunny
2015-07-04 None, Sunny
2015-07-07 None, Sunny
2015-07-06 None, Sunny
2015-07-01 None, Sunny
2015-07-03 None, Sunny
2015-07-02 None, Sunny
2015-12-14 None, Sunny
2015-12-15 None, Sunny
2015-12-16 None, Sunny
2015-12-17 None, Sunny
2015-12-10 None, Sunny
2015-12-11 None, Sunny
2015-12-12 None, Sunny
2015-12-13 None, Sunny
2015-12-18 None, Sunny
2015-12-19 None, Sunny
2015-06-11 None, Sunny
2015-06-10 None, Sunny
2015-06-13 None, Sunny
2015-06-12 None, Sunny
2015-06-15 None, Sunny
2015-06-14 None, Sunny
2015-06-17 None, Sunny
2015-06-16 None, Sunny
2015-06-19 None, Sunny
2015-06-18 None, Sunny
2015-02-19 None, Sunny
2015-02-18 None, Sunny
2015-02-15 None, Sunny
2015-02-14 None, Sunny
2015-02-17 None, Sunny
2015-02-16 None, Sunny
2015-02-11 None, Sunny
2015-02-10 None, Sunny
2015-02-13 None, Not Sunny
2015-02-12 None, Sunny
2015-05-29 None, Sunny
2015-05-28 None, Sunny
2015-08-31 None, Sunny
2015-08-30 None, Sunny
2015-05-27 None, Sunny
2015-10-19 None, Sunny
2015-04-30 None, Sunny
2015-03-09 None, Sunny
2015-03-08 None, Sunny
2015-03-01 None, Sunny
2015-03-03 None, Sunny
2015-03-02 None, Sunny
2015-03-05 None, Sunny
2015-03-04 None, Sunny
2015-03-07 None, Sunny
2015-03-06 None, Sunny
2015-05-03 None, Sunny
2015-05-02 None, Sunny
2015-05-01 None, Sunny
2015-05-07 None, Sunny
2015-05-06 None, Sunny
2015-05-05 None, Sunny
2015-05-04 None, Sunny
2015-05-09 None, Sunny
2015-05-08 None, Sunny
2015-01-18 427042, Sunny
2015-01-19 342795, Sunny
2015-01-10 515540, Sunny
2015-01-11 419629, Sunny
2015-01-12 396367, Sunny
2015-01-13 448517, Sunny
2015-01-14 442656, Sunny
2015-01-15 451186, Sunny
2015-01-16 478124, Sunny
2015-01-17 476827, Sunny
2015-11-28 None, Sunny
2015-11-29 None, Sunny
2015-11-24 None, Sunny
2015-11-25 None, Sunny
2015-11-26 None, Sunny
2015-11-27 None, Sunny
2015-11-20 None, Sunny
2015-11-21 None, Sunny
2015-11-22 None, Sunny
2015-11-23 None, Sunny
2015-09-07 None, Sunny
2015-09-06 None, Sunny
2015-09-05 None, Sunny
2015-09-04 None, Sunny
2015-09-03 None, Sunny
2015-09-02 None, Sunny
2015-09-01 None, Sunny
2015-10-30 None, Sunny
2015-10-31 None, Sunny
2015-09-09 None, Sunny
2015-09-08 None, Sunny
2015-07-30 None, Sunny
2015-07-31 None, Sunny
2015-12-09 None, Sunny
2015-12-08 None, Sunny
2015-12-03 None, Sunny
2015-12-02 None, Sunny
2015-12-01 None, Sunny
2015-12-07 None, Sunny
2015-12-06 None, Sunny
2015-12-05 None, Sunny
2015-12-04 None, Sunny
2015-06-24 None, Sunny
2015-06-25 None, Sunny
2015-06-26 None, Sunny
2015-06-27 None, Sunny
2015-06-20 None, Sunny
2015-06-21 None, Sunny
2015-06-22 None, Sunny
2015-06-23 None, Sunny
2015-06-28 None, Sunny
2015-06-29 None, Sunny
2015-02-20 None, Not Sunny
2015-02-21 None, Not Sunny
2015-02-22 None, Sunny
2015-02-23 None, Sunny
2015-02-24 None, Not Sunny
2015-02-25 None, Sunny
2015-02-26 None, Sunny
2015-02-27 None, Sunny
2015-02-28 None, Sunny
2015-05-30 None, Sunny
2015-05-31 None, Sunny
2015-08-08 None, Sunny
2015-08-09 None, Sunny
2015-08-04 None, Sunny
2015-08-05 None, Sunny
2015-08-06 None, Sunny
2015-08-07 None, Sunny
2015-08-01 None, Sunny
2015-08-02 None, Sunny
2015-08-03 None, Sunny
2015-09-30 None, Sunny
2015-12-30 None, Sunny
2015-12-31 None, Sunny
2015-03-30 None, Sunny
2015-03-31 None, Sunny
2015-04-08 None, Sunny
2015-04-09 None, Sunny
2015-04-01 None, Sunny
2015-04-02 None, Sunny
2015-04-03 None, Sunny
2015-04-04 None, Sunny
2015-04-05 None, Sunny
2015-04-06 None, Sunny
2015-04-07 None, Sunny
